is_suspicious,CDESCR
0,I HAVE A YEAR 2000 CHRYSLER TOWN & COUNTRY VAN  THE SEAT HEATER SET FIRE TO THE LEATHER ON THE SEAT. THE DEALER WOULD NOT FIX THE SEAT DUE TO THE VAN BEING UNDER EXTENDED WARRANTY NOT THE FACTORY WARRANTY.  FROM THE INFORMATION ON THE NET CHRYSLER KNEW ABOUT THIS PROBLEM IN 1999 AND IT LOOKS LIKE THEY DIDN'T BOTHER TO FIX IT IN THE VANS BUILT FOR THE YEAR 2000. HAVING TO PUT OUT A FIRE WHILE DRIVING IS NOT SOMETHING I BARGAINED FOR WHEN I BOUGHT THE VAN.  WHAT WOULD HAVE HAPPENED IF NO ONE SAW THE FIRE AND LEFT THE VAN NEXT TO THE HOUSE?  *LA
0,I WAS TAKING THE CAR TO GET AN OIL CHANGE AND THE MECHANIC NOTICED THAT THE SWAY BAR HAD RUSTED THROUGH AND BROKE.   HE SAID IT WAS A DEFECTIVE PART AND RUSTED THROUGH DUE TO THE FACT THAT IT WAS HOLLOW - HE EXPLAINED IT IS DANGEROUS TO DRIVE OVER 30 MPH WITH A DEFECTIVE SWAY BAR.  IT IS MY OPINION THERE SHOULD BE A RECALL DUE TO THE SAFETY CONCERNS.   *KB
0,"AFTER IS INSERTED IN THE GAS TANK, GAS BEGAN TO LEAK OUT. DEALER AWARE OF PROBLEM, BUT CANNOT FIX IT.  *YC"
0,DASHBOARD INFORMATION CENTER WARNINGS OF STABILITRACK AND SERVICE BRAKES WITH AUDIBLE CHIMES DURING DRIVING. WENT TO DEALERSHIP AND FOUND OUT THAT THE MASTER CYLINDER WAS LEAKING INTO BRAKE BOOSTER.  NO EVIDENCE OF BRAKE LEAK EVER. SEEMS TO BE ONGOING FAILURE WITH THIS MODEL OF ALL OF GM PRODUCT LINES AND A VERY EXPENSIVE REPAIR.  *TR
0,"WHILE DRIVING THROUGH A WATER PUDDLE,  POWER STREEING DIED DOWN FOR A COUPLE OF MINUTES. THIS IS THE THIRD TIME THIS HAS HAPPENED. CONTACTED DEALER WHO STATED THERE WAS  NOTHING THERE.*AK  CONSUMER STATES DEALER CHARGED POWER STEERING BELT, HOWEVER DID NOT RETURN FAILED PARTS TO CONSUMER.   *SLC"
0,"TL* THE CONTACT OWNS A 2006 CHRYSLER TOWN AND COUNTRY. THE CONTACT STATED THAT BOTH THE DRIVER AND PASSENGER SIDE SLIDING DOORS WOULD NOT REMAIN OPEN OR CLOSED WHEN THE VEHICLE WAS PARKED. ON ONE OCCASION, THE CONTACT WAS ATTEMPTING TO SHUT THE DOOR MANUALLY YET THE DOOR WOULD NOT REMAIN CLOSED AND STRUCK THE CONTACT IN THE FACE. THE MANUFACTURER ADVISED THE CONTACT TO RETURN THE VEHICLE TO THE DEALER WHERE SHE PURCHASED IT. THE VEHICLE WAS NOT REPAIRED. THE FAILURE MILEAGE WAS APPROXIMATELY 49,500 AND THE CURRENT MILEAGE WAS APPROXIMATELY 50,000. "
0,THERE IS A FUEL LEAKAGE UNDER THE BOTTOM OF THE VEHICLE CAB  DUE TO  THE FUEL LINE RUBBING AGAINST THE BOTTOM OF THE CAB.  *AK
0,"EXHAUST MANIFOLD DEVELOPED 1-INCH CRACK AT MAIN STEM.  VERY LOUD NOISE WHEN ENGINE WAS RUNNING.  I WAS TOLD BY DEALER THAT A NEW MANIFOLD WOULD COST $1000 FOR PARTS & LABOR.  LUCKILY, I WAS ABLE TO FIND A USED MANIFOLD AND WAS ONLY CHARGED $300 TO HAVE IT INSTALLED WITH A NEW GASKET.  I DID NOT USE THIS VEHICLE OFF-ROAD AND I CAN ONLY ASSUME THAT THE WRONG METAL WAS USED TO DESIGN THIS MANIFOLD.           TS"
0,"I OPENED MY TAILGAGE TODAY, 12/13/09, TO PUT SOME ITEMS INTO MY TRUNK.  I LEANED IN TO GET THEM SITUATED & SECURE WHEN SUDDENLY THE LIFTGATE SLAMMED DOWN ON MY LOWER BACK, TRAPPING ME AGAINST THE INSIDE OF MY TRUNK.     I WAS UNABLE TO LIFT THE GATE AND HAD TO SLITHER OUT ONTO THE GROUND, AT WHICH POINT THE LIFTGATE COMPLETELY CLOSED.     I REOPENED THE LIFTGATE, UNSURE OF WHAT HAD HAPPENED, AND WOOSH! IT SLAMMED SHUT AGAIN.   THE LIFTGATE WILL NOT STAY UP, AND CLEARLY THE SENSORS THAT ARE SUPPOSED TO DETECT OBJECTS IMPEDING IT'S CLOSURE ARE NOT WORKING.     I HAVE TWO SMALL CHILDREN WHO OFTEN GET ITEMS OUT OF THE TRUNK - SUCH AS JACKETS OR UMBRELLAS - AND IF THIS HAD HAPPENED TO THEM, IT WOULD HAVE BEEN THEIR HEAD OR NECK THAT GOT CAUGHT.     I BROUGHT THE CAR INTO LEHMER'S GMC IN CONCORD CA THIS MORNING AFTER VISITING THE DOCTOR WHO LOOKED AT MY SWOLLEN LOWER BACK. THEY TOLD ME SINCE I WISHED TO FILE A CLAIM WITH GMC -- NOT FOR COMPENSATION, SIMPLY TO HAVE OFFICIAL WRITTEN NOTICE THAT THIS IS A DANGEROUS OCCURRENCE -- THAT THEY WOULD NOT REPAIR THE LIFTGATE AND WOULD HAVE TO GIVE IT BACK TO ME STILL DAMAGED AND DANGEROUS.  I'M QUITE SURPRISED THAT THEY WOULD RETURN A POTENTIALLY DANGEROUS VEHICLE TO A CUSTOMER.    MY LOWER BACK IS CURRENTLY SWOLLEN AND SORE. I'VE CALLED MY DOCTOR'S OFFICE TO REQUEST AN APPOINTMENT FOR TOMORROW MORNING WHEN THEY OPEN AND I WILL BE TAKING THE CAR INTO CONCORD GMC FOR SERVICE. *TR"
0,"VEHICLE WAS INVOLVED IN A FRONTAL COLLISION. UPON IMPACT, AIRBAGS DID NOT DEPLOY,  RESULTING IN EXTENDED STOPPING DISTANCE.    MANUFACTURER AND DEALER HAVE BEEN NOTIFIED.  *AK"
0,"TURN SIGNAL/HAZARD RELAY SWITCH FAILED WHILE DRIVING, NO TURN SIGNALS...FIND OUT THERE HAS BEEN A RECALL ON THE 2002 JETTA AND GOLFS BUT NOT ON THE PASSAT, SAME SWITCH IN ALL THE CARS MADE BY VW...THIS IS A HUGE HAZARD, WHY HASN'T VW RECALLED THE 2002 PASSATS AS WELL?  *TR"
0,"I DECIDED TO TAKE THE CAR TO ESSERMAN INTERNATIONAL DEALER FOR AN INSPECTION. ON MARCH 11, 2003 AFTER I EXPLAINED THE NOISES AND WAIT A WHOLE MORNING, I WAS GIVEN MY CAR BACK AND INFORMED THAT THERE WAS NOTHING WRONG WITH THE BRAKES. *AK  APRIL 14 I RETURNED TO THE SAME DEALER AND EXPLAINED THAT I STILL HEARD THE CRACKING NOISE AND THAT IT WAS HARD TO BRAKE. ONCE AGAIN MY CAR WAS RETURNED TO ME AND INFORMED THAT THERE WAS NOTHING WRONG WITH THE CAR.   FEBRUARY 20, 2004 I TOOK MY CAR TO THE ORIGINAL DEALER WHERE I PURCHASE MY VEHICLE, EXPLAINED THE SAME PROBLEM WITH THE BRAKES AND IN ADDITION THERE WAS A RATTLING NOISE IN THE GLOVE COMPARTMENT. THIS TIME FOR MY SURPRISE THE DEALER TOLD ME THAT THEY HAD TO RESURFACE FRONT BRAKES ROTORS AND THAT THERE WAS NO NOISE INSIDE THE CAR.   THE NEXT DAY AFTER THEY SUPPOSEDLY REPAIRED THE CAR, THE D-4 LIGHT STARTED BLINKING AND THE NOISE ON THE BRAKE WAS WORSE. I WAS NOT ABLE TO TAKE THE CAR BACK TO THE DEALER SINCE I WAS SHIPPING MY CAR TO CA. THE VERY NEXT DAY.   WHEN I RECEIVED MY CAR IN CA I TOOK THE CAR TO THE ACURA DEALER IN ELK GROVE FOR AN INSPECTION & ALSO EXPLAINED AGAIN THE WHOLE SITUATION. THIS TIME THOUGH I ALSO EXPLAINED THE EXPERIENCE I HAD WHILE I WAS DRIVING THE CAR FROM OAKLAND TO SACRAMENTO (1 HOUR ½): THE CAR STARTED TO ACCELERATE ITSELF AND I HAD TO TAP ON THE GAS-PEDAL SEVERAL TIMES IN ORDER FOR IT TO CHANGE GEARS. THIS PARTICULAR PROBLEM MADE ME STOP IN THE MIDDLE OF THE HIGHWAY THREE TIMES.     ONCE AGAIN I RECEIVED MY CAR BACK AND TOLD THAT THERE WAS NO PROBLEM WITH THE CAR EXCEPT THAT I HAD TO REPLACE THE FRONT BRAKES PADS AN MY OWN COST.   CUSTOMER RELATIONS WAS CONTACTED SEVERAL TIMES (MR. IAHWAN) BUT THIS MANAGER WILL NOT ANSWER MY LETTER, FAX OR VOICE MESSAGE. I INFORMED THE DEALER THAT D4-LIGHT WAS FLASHING, WHICH IN THE MANUAL STATES THAT IT CAN BE A PROBLEM W/TRANSMISSION, UNFORTUNATELY THE DEALER DID NOT FIND ANYTHING. THE D4 LIGHT KEEPS FLASHING AT LEAST TWICE A WEEK.   PLEASE HELP!"
0,"MY LEFT HEADLIGHT STARTED GOING OUT,IT WOULD COME BACK ON, THEN MY RIGHT STARTED AND NOW BOTH LIGHTS WILL GO OUT WHILE DRIVING. SEEING MANY OF THE SAME COMPLAINTS ONLINE.  *TR"
0,"TL*THE CONTACT OWNS A 2006 NISSAN MAXIMA.  THE CONTACT STATED THAT THE ABS ACTIVATES ON ITS OWN.  HE TOOK THE VEHICLE TO A DEALER AND THEY STATED THAT DIRT ENTERS THROUGH THE SPEED SENSOR AND CAUSES THE FAILURE.  THE CONTACT WOULD BE RESPONSIBLE FOR THE REPAIRS SINCE THE WARRANTY WAS EXPIRED.  THE MANUFACTURER DID NOT ASSIST.  THE VEHICLE HAS NOT BEEN REPAIRED.  THE FAILURE MILEAGE WAS 37,000 AND CURRENT MILEAGE WAS 39,000.   THE CONSUMER WAS INFORMED THE SENSOR FAILURE CAUSED THE PUMP MOTOR AND ACTUATOR RELAY TO FAIL. THE CONSUMER STATED HE DISMANTLED THE ABS IN ORDER TO DRIVE THE VEHICLE PROPERLY. UPDATED 07/08/09.*JB"
0,"IN STOP AND GO TRAFFIC AT LAUNCH VEHICLE ABS ENGAGED WITHOUT WARNING REPEATEDLY WITH LOUD GRINDING NOISES AND THE ABS LIGHT, TRACTION LIGHT AND VEHICLE STABILITY CONTROL LIGHT ALL CAME UP. STOPPED VEHICLE, TURNED OFF ENGINE, WAITED A FEW MINUTES AND ALL LIGHTS WERE GONE UPON RESTART. HOWEVER THIS PROBLEM WORSENED CONSIDERABLY AND MORE OFTEN THROUGH THE OCTOBER AND NOVEMBER 2011 MONTHS, TO THE POINT OF OCCURRING EVERY TIME THE VEHICLE IS DRIVEN AS THE DATE OF THIS WRITING, DECEMBER 3RD 2011. NEW WORSENED SYMPTOMS NOW INCLUDE FLASHING VSC (VEHICLE STABILITY CONTROL) AT LAUNCH FROM A STOP, WHICH CUTS ENGINE POWER AND COMPROMISES ACCURATE STEERING. SOMETIMES THE ABS, TRAC AND VSC LIGHTS COME UP IMMEDIATELY, SOMETIMES ONLY AFTER REPEATED INTRUSIVE ACTIVATIONS OF ABS/TRAC/VSC. ALL THESE WARNING LIGHTS ALSO STAYED ON ONCE FOR TWO ENTIRE DAYS AFTER LEAVING THE VEHICLE REST OVERNIGHT.  ALL THESE DANGEROUS RANDOM INTERVENTIONS OF THE ABS/TRAC/VSC ELECTRONICS STARTED AFTER THE FRONT ROTORS AND PADS WERE CHANGED BY A PROFESSIONAL MECHANIC (A1-UNITY BODY, 1420 HOWE ST IN VANCOUVER, BC, CANADA). THE VEHICLE WAS FEDERALLY AND PROVINCIALLY INSPECTED FOR CANADIAN IMPORTATION BY THE SAME MECHANIC BEFORE THESE PROBLEMS STARTED TO HAPPEN. IT WAS DEEMED TO BE IN EXCEPTIONAL MECHANICAL AND WORKING CONDITION FOR ITS AGE AND MILEAGE. HOWEVER THE VEHICLE IS NOW LONGER SAFE TO DRIVE BECAUSE OF THIS ABS/TRAC/VSC DEFECT, DESPITE IT BEING OTHERWISE PERFECTLY DRIVABLE.  TOYOTA MUST ISSUE THE SAME RECALLS THAT THEY POSTED FOR DEFECTIVE TRAC AND VSC FOR THE 2003 YEAR SEQUOIA MODELS FOR THE 2002 SEQUOIA MODELS. SEQUOIA VEHICLES HAVEN'T RECEIVED ANY HARDWARE OR SOFTWARE UPDATES AS FAR AS ABS/TRAC/VSC SYSTEMS ARE CONCERNED BETWEEN 2001 AND 2003, PROOF BEING THAT SUBSEQUENT MODEL YEARS FROM 2001 ALL EXPERIENCE THE SAME DEFECTS FOR THE SAME REASONS.  2001-2002 SEQUOIA VSC RECALLS NEED TO BE ISSUED NOW!  *TR"
0,WATER PUMP REPLACED. *SD
0,"TL* THE CONTACT OWNS A 2007 FORD F-150. THE CONTACT STATED THAT THE SIDE SUPPORT HANDLES USED TO LIFT ONESELF INTO THE VEHICLE BECAME FRACTURED. THE VEHICLE WAS TAKEN TO THE DEALER BUT WAS NOT REPAIRED. THE CONTACT STATED THAT IT WAS THE SECOND OCCURRENCE OF THE FAILURE.  THE FAILURE MILEAGE WAS 48,000. *TR"
0,"DT*: THE CONTACT STATED THE CHECK ENGINE LIGHT ILLUMINATED AND THE VEHICLE STALLED WITHOUT WARNING, BUT RESTARTED IMMEDIATELY.  THE DEALERSHIP REPLACED THE CATALYTIC CONVERTER.  THE CHECK ENGINE LIGHT ILLUMINATED AND THE VEHICLE STALLED 50000 MILES LATER, BUT WOULD NOT RESTART.  THE VEHICLE WAS TOWED TO AN INDEPENDENT REPAIR SHOP, WHO DETERMINED THE CATALYTIC CONVERTER NEEDED TO BE REPLACED.    "
0,"THERE IS A FUEL LEAK AT THE FILLER NECK.  ALSO, FUEL  TANK CAN ONLY CONSUME FIVE DOLLARS WORTH OF FUEL WITHOUT THE TANK LEAKING. CONSUMER HAS CONTACTED  DEALER. PLEASE PROVIDE ANY FURTHER DETAILS.  *AK"
0,"WHILE DRIVING, I HEARD A LOUD ""POP"" AND THE DRIVER'S SEAT SLUMPED BACK AND LEFT, TOWARD THE WINDOW.  IT JARRED MY POSITION IN THE CAR, CAUSING MY GRIP TO CHANGE ON THE STEERING WHEEL.  AS A RESULT, I VEERED INTO AN ADJACENT TRAFFIC LANE.  THANKFULLY THERE WAS NOT A VEHICLE IN THE ADJACENT LANE. I THEN BECAME PREOCCUPIED AS TO WHETHER THE SEAT WAS LOSE AND WHETHER IT WOULD TILT FURTHER, CAUSING A MORE HAZARDOUS SITUATION WHILE DRIVING.  I WAS ONLY A FEW BLOCKS FROM HOME AND WAS THEN ABLE TO BETTER INSPECT THE SITUATION OF THE FAULTY SEAT.  THE NISSAN DEALERSHIP IDENTIFIED THE FAULT AS A BROKEN LIFTER LINK ASSEMBLY.    *TR"
0,"TL*THE CONTACT OWNS A COMBI (CENTRE) REARFACING INFANT SEAT, MODEL NUMBER 808680.  THE SEAT WAS MANUFACTURED ON DECEMBER 12, 2005.  THE CONTACT RECEIVED A RECALL NOTICE IN FEBRUARY OF 2008.  SHE CALLED THE MANUFACTURER AT THAT TIME AND STILL HAS NOT RECEIVED HER REPAIR KIT.  THE CONTACT CALLED THE MANUFACTURER IN APRIL OF 2008 AND WAS INFORMED THAT IT WOULD TAKE 6 TO 8 WEEKS TO RECEIVE THE KIT.  THE FAILURE TYPE WAS UNKNOWN.  THERE HAD BEEN NO FAILURE TO DATE."
0,"SERPENTINE BELT PULLEY LOCKING UP AND CAUSING  ENGINE TO CUT OFF.  DEALER NOTIFIED, AND MADE REPAIRS; BUT,  PROBLEM WAS REOCCURRING.  FEEL FREE TO PROVIDE ANY FURTHER DETAILS ON THIS MATTER .  *AK"
0,"I HAVE A 2002 TOYOTA RAV 4,STARTED DRIVING ERRATIC,WHILE FOOT ON GAS PEDAL,CAR WOULD SLOW DOWN,THEN SPEED UP WITH BANGING SOUND. LOCAL TOYOTA DEALERSHIP SAYS COMPUTER BAD REPLACING IT,WHICH INCLUDED A TOW IS$ 1,440.00 .CAR IS 8 YEARS OLD WITH 91,000 MILES. *TR"
0,"WHILE DRIVING THROUGH THE NEIGHBORHOOD AT 35 MPH, THE POSTED SPEED, WE LOST BRAKE CONTROL OF THE VEHICLE WHEN THE SERVICE BRAKE WAS APPLIED APPROACHING AN INTERSECTION WITH A STOP SIGN. WE WERE UNABLE TO STOP THE VEHICLE WHICH ENTERED THE INTERSECTION AND PASSED ALL OF THE WAY THROUGH IT. THE BRAKE PEDAL WAS TO THE FLOOR AND NOT WORKING PROPERLY. FORTUNATELY FOR ALL THERE WERE NO OTHER VEHICLES ( OR PEDESTRIANS) IN THIS INTERSECTION AS WE WOULD HAVE CERTAINLY HIT THEM. IT APPEARS THE BRAKE LINE(S) ON THE K2500 SUBURBAN HAVE RUSTED THROUGH IN AN AREA THAT IS DIFFICULT TO SEE WHERE THEY GO THROUGH THE FRAME AND BLEW OUT AT THIS CRITICAL MOMENT. THE DEALER IS UNWILLING TO TAKE ANY RESPONSIBILITY FOR THE REPAIR AS THE VEHICLE IS OUT OF FACTORY WARRANTY. WHEN WE PURCHASED THE VEHICLE THEY DID NOT TELL US THE BRAKES COULD ONLY BE RELIED UPON FOR THE TIME THE TRUCK IS UNDER WARRANTY. THIS COULD HAVE BEEN A SERIOUS, POSSIBLY DEADLY OUTCOME SINCE WE TOW A TRAILER WITH THE TRUCK ON THE HIGHWAY. I UNDERSTAND THIS IS ACTUALLY A COMMON OCCURRENCE WITH THESE CHEVROLET AND GMC TRUCKS. WHY IS THERE NO RECALL GIVEN THE POTENTIAL DEADLY POSSIBILITIES? TOYOTA WAS IN THE NEWS ABOUT THEIR UNEXPECTED ACCELERATION ISSUE BUT WE HAVE HEARD NOTHING ABOUT THIS UNEXPECTED LOSS OF BRAKING ISSUE?  WHY IS THAT? IS NOT BEING ABLE TO STOP NOT A PROBLEM FOR THE NHTSA?  *TR"
0,"DEALER DENIES ANY MALFUNCTION, SAYS CAFE IS OK.  *AK"
0,"TL* THE CONTACT OWNS A 2003 CHEVROLET SILVERADO 2500 HD. THE CONTACT STATED THAT WHILE DRIVING APPROXIMATELY 35 MPH, A LOUD NOISE EMITTED FROM THE ENGINE COMPARTMENT AND THE ENGINE WARNING LIGHT ILLUMINATED. THE VEHICLE WAS TAKEN TO A PRIVATE MECHANIC WHO INFORMED THE CONTACT THAT THE EXHAUST MANIFOLD HAD FAILED. THE VEHICLE WAS NOT REPAIRED. THE MANUFACTURER WAS NOTIFIED OF THE FAILURE. THE APPROXIMATE FAILURE MILEAGE WAS 79,000. "
0,WHEN APPLYING  THE BRAKES ONE CAN  HEAR A NOISE COMING FROM THE BRAKES. FEELS LIKE WHEN APPLYING THE BRAKES THE BACK OF THE VEHICLE HOPS UP AND DOWN.    *AK
0,"FIRESTONE TIRES P225 75 R16 EXPERIENCED CUPPING, TREAD SEPARATION, AND ONE TIRE WOULD NOT HOLD AIR, CONSUMER WANTS REIMBURSEMENT.   *SLC"
0,BRAKE PADS WORN OUT.
0,"THE REPORTED MODEL WAS CRUISING AT 65 MILES AN HOUR ALONG NORTH BOUND I-795 @ NC RTE 42, WILSON, NC (STATE POLICE RESPONDED TO THIS DISABLED VEHICLE CALL) VEHICLE ACTED LIKE IT RAN OUT OF GAS. ELECTRICAL PROVEOUT INDICATORS WERE NORMAL. IGNITION SYSTEM WAS FUNCTIONAL, AS WERE ALL OTHER FACETS OF THE ELECTRICAL SYSTEM SEEMED FINE DURING THE ENGINE POWER FAILURE, HOWEVER , LOSS OF STEERING POWER AND BRAKING POWER WAS EVIDENT AND PROMINENT. AFTER SAFELY COASTING OFF ONTO THE SHOULDER JUST PAST THE SAID INTERSECTION THE VEHICLE WOULD NOT START AND WAS TOWED TO A REPAIR FACILITY.     A FINAL DIAGNOSIS WAS PERFORMED AND WAS DETERMINED OF A RELAY CONTACT FAILURE. THIS RELAY IS AN INTEGRAL PART OF THE MAIN POWER DISTRIBUTION PANEL / FUSE BLOCK RIGHT OF THE PASSENGER FOOT WELL.     MAKING THIS PART INTEGRAL TO THE POWER BLOCK MAKES IT EXTREMELY EXPENSIVE TO REPAIR AND MAKES THE VEHICLE UNSAFE AS FAR AS A REASONABLE REPAIR TO A CRITICAL SYSTEM AND PLACES OTHER SYSTEMS AT RISK BY THE NATURE OF REPLACING THE ENTIRE POWER BLOCK TO REPAIR THE PROBLEM.. IE: THE FUEL PUMP.     WHEN THIS RELAY CONTACT FAILS, POWER IS LOST TO THE FUEL PUMP DRIVER MODULE LOCATED UNDER THE DRIVER'S REAR WHEEL WELL. THIS MODULE SUPPLY POWER TO THE FUEL PUMP MOTOR IN THE FUEL TANK. THE FUEL PUMP CONTROL MODULE ITSELF SHOULD BE SCRUTINIZED HENCE IT'S LOCATION MAKES IT VULNERABLE TO WEATHER AND QUICK CORROSION.  *TR"
0,AFTER HAVE THE RECALL DONE ON THIS CAR 5 YEARS AGO.  MY TRANSMISSION IS HAVING ALL THE ISSUES KNOWN BY EVERYONE.  ENGINE LIGHT IS ONE SERVICE COMPUTER STATES TRANSMISSION SHIFTING PROBLEM.  AAMCO HAS TOLD ME THAT ITS A KNOWN ISSUES WITH THIS MODEL CAR TO HAVE TRANSMISSION ISSUE BEFORE THE RECALL AND WAY AFTER AND YET HONDA IS SILENT!   I AM SORRY BUT THIS IS JUST NOT RIGHT!  *TR
0,"HOSE THAT IS HOOKED TO OIL FILTER IS NOT THE CORRECT ONE.  ALSO,  THE TWO BARS THAT HOLD THE MOTOR IN PLACE  BROKE, AND  WERE BARELY HOLDING THE MOTOR, BROKEN BARS WERE GRINDING AGAINST THE FAN BELT.  *AK"
0,DAIMLER-CHRYSLER IS REFUSING TO COVER POWERTRAIN DAMAGE. *AK
