author,rank,rating,score,title,votes
Sheri S. Tepper,61,"4.04 avg rating — 9,263 ratings","score: 2,203","Grass (Arbai, #1)",27 people voted
K.T. Hanna,62,4.18 avg rating — 191 ratings,"score: 2,199","Chameleon (The Domino Project, #1)",22 people voted
Sheri S. Tepper,63,"4.05 avg rating — 11,540 ratings","score: 2,191",The Gate to Women's Country,27 people voted
Joanna Russ,64,"3.54 avg rating — 5,349 ratings","score: 2,128",The Female Man,26 people voted
Kage Baker,65,"3.77 avg rating — 4,996 ratings","score: 2,038","In the Garden of Iden (The Company, #1)",26 people voted
Ceri London,66,4.44 avg rating — 133 ratings,"score: 2,013","Rogue Genesis (Shimmer in the Dark, #1)",21 people voted
Octavia E. Butler,67,"4.24 avg rating — 17,396 ratings","score: 2,006","Parable of the Talents (Earthseed, #2)",25 people voted
C.J. Cherryh,68,"4.12 avg rating — 4,627 ratings","score: 1,931",The Faded Sun Trilogy (The Faded Sun #1-3),23 people voted
Lois McMaster Bujold,69,"4.18 avg rating — 12,106 ratings","score: 1,914","Diplomatic Immunity (Vorkosigan Saga, #13)",26 people voted
Naomi Novik,70,"4.06 avg rating — 67,058 ratings","score: 1,849","His Majesty's Dragon (Temeraire, #1)",22 people voted
Elizabeth Moon,71,"really liked it 4.00 avg rating — 9,436 ratings","score: 1,819",The Speed of Dark,24 people voted
Marion Zimmer Bradley,72,"3.88 avg rating — 5,953 ratings","score: 1,748",Darkover Landfall,21 people voted
Hayley Stone,73,3.79 avg rating — 248 ratings,"score: 1,698","Machinations (Machinations, #1)",17 people voted
G.S. Jennsen,74,"4.22 avg rating — 1,042 ratings","score: 1,684","Vertigo (Aurora Rhapsody, #2)",18 people voted
Lois McMaster Bujold,75,"4.06 avg rating — 11,937 ratings","score: 1,683","CryoBurn (Vorkosigan Saga, #14)",24 people voted
Octavia E. Butler,76,"4.33 avg rating — 3,944 ratings","score: 1,659","Seed to Harvest (Patternmaster, #1-4)",20 people voted
Ursula K. Le Guin,77,"4.04 avg rating — 4,041 ratings","score: 1,572",The Wind's Twelve Quarters,19 people voted
Elizabeth Moon,78,"4.06 avg rating — 3,627 ratings","score: 1,547",Remnant Population,20 people voted
Ursula K. Le Guin,79,"3.95 avg rating — 12,898 ratings","score: 1,510",The Word for World is Forest,20 people voted
Ann Aguirre,80,"3.73 avg rating — 12,658 ratings","score: 1,497","Grimspace (Sirantha Jax, #1)",17 people voted
Nicola Griffith,81,"3.86 avg rating — 3,713 ratings","score: 1,477",Ammonite,20 people voted
Beth Revis,82,"3.77 avg rating — 107,407 ratings","score: 1,435","Across the Universe (Across the Universe, #1)",16 people voted
C.J. Cherryh,83,"4.19 avg rating — 3,610 ratings","score: 1,392","Inheritor (Foreigner, #3)",18 people voted
Mya Robarts,84,"4.02 avg rating — 7,833 ratings","score: 1,380",The V Girl,15 people voted
Lauren Oliver,85,"3.98 avg rating — 392,234 ratings","score: 1,366","Delirium (Delirium, #1)",15 people voted
Vonda N. McIntyre,86,"3.86 avg rating — 8,402 ratings","score: 1,324",Dreamsnake,18 people voted
Pamela Sargent,87,really liked it 4.00 avg rating — 272 ratings,"score: 1,297",Women of Wonder: Science-Fiction Stories by Women about Women,16 people voted
Martha Wells,88,"4.15 avg rating — 35,012 ratings","score: 1,296","All Systems Red (The Murderbot Diaries, #1)",14 people voted
Elizabeth Moon,89,"3.98 avg rating — 11,161 ratings","score: 1,286","Trading in Danger (Vatta's War, #1)",16 people voted
C.J. Cherryh,90,"4.17 avg rating — 4,058 ratings","score: 1,276","Invader (Foreigner, #2)",17 people voted
Marge Piercy,90,"3.95 avg rating — 12,597 ratings","score: 1,276",Woman on the Edge of Time,15 people voted
Maureen F. McHugh,92,"3.94 avg rating — 3,453 ratings","score: 1,253",China Mountain Zhang,18 people voted
S.L. Viehl,93,"3.80 avg rating — 3,632 ratings","score: 1,230","Stardoc (Stardoc, #1)",16 people voted
Margaret Atwood,94,"really liked it 4.00 avg rating — 52,186 ratings","score: 1,212","MaddAddam (MaddAddam, #3)",13 people voted
Tanya Huff,95,"3.98 avg rating — 6,895 ratings","score: 1,165","Valor's Choice (Confederation, #1)",16 people voted
Connie Willis,96,"3.93 avg rating — 10,067 ratings","score: 1,142",Bellwether,13 people voted
C.S. Friedman,97,"4.04 avg rating — 3,260 ratings","score: 1,130",This Alien Shore,15 people voted
Catherine Asaro,98,"3.74 avg rating — 3,686 ratings","score: 1,119","Primary Inversion (Saga of the Skolian Empire, #1)",15 people voted
Marissa Meyer,99,"4.29 avg rating — 265,215 ratings","score: 1,115","Scarlet (The Lunar Chronicles, #2)",12 people voted
Nancy Kress,100,"3.61 avg rating — 1,291 ratings","score: 1,107","Probability Moon (Probability, #1)",15 people voted
